Key	Type	Desc	Português [c0]
Items/GalaxiteOre	Text		minério de galaxita
Items/GalaxiteOreDesc	Text		Minério de outro mundo comumente encontrado em paredes de arenito.
Items/GalaxitePantsArmor	Text		Calça Galaxite
Items/GalaxitePantsArmorDesc	Text		Uma armadura futurista para a parte inferior do corpo. Faz voce sentir que cada pequeno passo que voce dá é um salto gigantesco para a humanidade.
Items/GalaxiteShovel	Text		Pá Galaxita
Items/GalaxiteShovelDesc	Text		Uma pá sobrenatural, excelente para cavar terreno.
Items/GalaxiteSword	Text		Espada Galaxita
Items/GalaxiteSwordDesc	Text		Uma arma sobrenatural para matar inimigos.
Items/GalaxiteTrap	Text		Armadilha de Galaxite
Items/GalaxiteTrapDesc	Text		Esta armadilha de alta tecnologia dispara um jato de energia que queima com diferentes temperaturas, resultando em uma chama de arco-íris.
Items/GalaxiteTurret	Text		torreta Galaxite
Items/GalaxiteTurretDesc	Text		Uma arma automatizada de alta tecnologia que atira nos inimigos que enfrenta com projéteis de energia. Requer eletricidade para funcionar.
Items/GalaxiteWorkbench	Text		Bancada Galaxite
Items/GalaxiteWorkbenchDesc	Text		Bancada de trabalho de outro mundo que ajuda tremendamente a sobreviver nas cavernas mais profundas.
Items/GemCrab	Text		Caranguejo Gema
Items/GemCrabDesc	Text		Este caranguejo raro tem pedras preciosas antigas crescendo por toda parte.
Items/Geode	Text		Geodo
Items/GeodeDesc	Text		Metade de uma rocha com lindos cristais dentro.
Items/GhormChest	Text		Baú Ghorm
Items/GhormChestDesc	Text		Um baú revestido que lembra o devorador.
Items/GhormTrophy	Text		Estatueta Ghorm
Items/GhormTrophyDesc	Text		Uma representação realista de Ghorm, o Devorador.
Items/GhormsStomachBag	Text		Saco de Estômago de Ghorm
Items/GhormsStomachBagDesc	Text		Uma parte do estômago bem preservada do Devourer vem com uma alça prática.
Items/GhostBlanketBreastArmor	Text		Capa Cobertor Assustador
Items/GhostBlanketBreastArmorDesc	Text		Boohooo, eis a roupa de cama suja!
Items/GhostBlanketCavelingTrophy	Text		estatueta assustadora
Items/GhostBlanketCavelingTrophyDesc	Text		Uma representação realista de um Spookaveling.
Items/GhostBlanketHelm	Text		Cobertor Assustador
Items/GhostBlanketHelmDesc	Text		Uma tentativa barata de última hora para se preparar para a temporada assustadora.
Items/GiantGerm	Text		germe gigante
Items/GiantGermDesc	Text		Uma grande bactéria balançando em sua mão, fascinante e nojenta ao mesmo tempo.
Items/GiantMite	Text		ácaro gigante
Items/GiantMiteDesc	Text		Uma criatura carmesim imovel. Ele apenas fica la... observando...
Items/GiantMushroom	Text		cogumelo gigante
Items/GiantMushroomDesc	Text		O rei de todos os cogumelos, crescendo em condições perfeitas, tornou-o extraordinariamente grande.
Items/GiantSquidEye	Text		olho de lula gigante
Items/GiantSquidEyeDesc	Text		Um órgão sensorial de uma grande criatura marinha. Provavelmente foi perdido em uma luta até a morte com algo ainda maior.
Items/GingerbreadBreastArmor	Text		Topo De Gengibre
Items/GingerbreadBreastArmorDesc	Text		Uma saborosa armadura de peito feita de pão de gengibre, vem com botões de açúcar e uma gravata borboleta de fondant.
Items/GingerbreadChest	Text		Baú De Gengibre
Items/GingerbreadChestDesc	Text		Um doce baú feito com um corpo robusto cozido e decoração de açúcar. Perfeito para armazenar alguns itens sazonais!
Items/GingerbreadHoodHelm	Text		Capuz de Gengibre
Items/GingerbreadHoodHelmDesc	Text		Este chapéu de gengibre não foi cozido, por isso permanece flexível para ser desenhado sobre a cabeça.
Items/GingerbreadManHelm	Text		Cabeça de Homen Gengíbre
Items/GingerbreadManHelmDesc	Text		Um capacete engraçado feito de pão de mel. Apenas ignore o sorriso assustador e os olhos sem alma.
Items/GingerbreadPantsArmor	Text		Calças de gengibre
Items/GingerbreadPantsArmorDesc	Text		Pernas bastante rígidas são a principal característica dessa armadura assada, assim como migalhas entre os dedos dos pés.
Items/GlazedHeartberry	Text		Baga de coração vitrificada
Items/GlazedHeartberryDesc	Text		Uma baga de coração coberta de açúcar que ainda é suculenta e fresca por baixo. Delicioso!
Items/GlowTulipRing	Text		anel de tulipa brilhante
Items/GlowTulipRingDesc	Text		Um anel luminoso que contém a essencia das tulipas brilhantes.
Items/GlowingTulipFlower	Text		Tulipa Brilhante
Items/GlowingTulipFlowerDesc	Text		Uma flor preciosa e brilhante que absorveu energia antiga.
Items/GlowingTulipFlowerRare	Text		Tulipa Brilho Dourado
Items/GlowingTulipFlowerRareDesc	Text		Uma variante muito rara da tulipa de brilho comum.
Items/GlowingTulipSeed	Text		semente de tulipa brilhante
Items/GlowingTulipSeedDesc	Text		Cresce em uma flor luminescente quando plantada.
Items/GlurchChest	Text		Baú Glurch
Items/GlurchChestDesc	Text		Um baú viscoso e derretido que restou da Missa Abominosa.
Items/GlurchTrophy	Text		Estatueta Glurch
Items/GlurchTrophyDesc	Text		Uma representação realista de Glurch, a Massa Abominável.
Items/GoKartWorkbench	Text		bancada de Carrinho
Items/GoKartWorkbenchDesc	Text		Uma longa mesa de trabalho para projetar veículos velozes para suas viagens.
Items/GodsentBreastArmor	Text		Armadura de peito do rei enviado por Deus
Items/GodsentBreastArmorDesc	Text		Uma peça única e real de armadura que lembra o coração do estado. Asas douradas foram adicionadas para herdar a graça de Azeos. Antes que pudesse ser usado, o reino se desfez em pó por dentro.
Items/GodsentHelm	Text		Máscara do Rei Enviado por Deus
Items/GodsentHelmDesc	Text		Uma peça única e real de armadura que se assemelha ao chefe do estado, coroando-o como um descendente dos deuses. Destinava-se a um futuro que nunca chegou.
Items/GodsentPantsArmor	Text		Armadura de calças do rei enviado por Deus
Items/GodsentPantsArmorDesc	Text		Uma peça única e real de armadura que se assemelha ao herdeiro do estado, que deveria carregar a glória do reino ao herdar o trono. Uma profecia sombria e um ato de assassinato acabaram com a linhagem real.
Items/GoldBar	Text		Barra de ouro
Items/GoldBarDesc	Text		Um lingote de metal macio para ferraria e joias.
Items/GoldCrystalNecklace	Text		colar de cristal de ouro
Items/GoldCrystalNecklaceDesc	Text		Uma bugiganga brilhante que combina os materiais mais valiosos.
Items/GoldCrystalRing	Text		anel de cristal de ouro
Items/GoldCrystalRingDesc	Text		Um anel precioso com pedras preciosas antigas.
Items/GoldOre	Text		Minério de ouro
Items/GoldOreDesc	Text		Raramente encontrado em paredes de barro e pedra.
Items/GoldenCavelingMask	Text		Máscara de Caverna Dourada
Items/GoldenCavelingMaskDesc	Text		Uma máscara intrincada com uma expressão severa, provavelmente usada em um ritual ou por alguém de alto escalão.
Items/GoldenChocolate	Text		chocolate dourado
Items/GoldenChocolateDesc	Text		Um chocolate de edição limitada para a estação fria. Não há bilhete dourado dentro, em vez disso, tudo é feito dele!
Items/GoldenCocoon	Text		casulo dourado
Items/GoldenCocoonDesc	Text		Uma crisálida banhada a ouro, esta não parece ser sua forma final.
Items/GoldenFeather	Text		Pena Dourada
Items/GoldenFeatherDesc	Text		É grande e brilhante, um item obrigatório para colecionadores.
Items/GoldenJellyfish	Text		água-viva dourada
Items/GoldenJellyfishDesc	Text		Esta água-viva rara parece viver bem sem água e aparentemente gosta da sua companhia.
Items/GoldenLarvaMeat	Text		Carne de Larva Brilhante
Items/GoldenLarvaMeatDesc	Text		Variante dourada rara de carne de larva, com efeitos aumentados.
Items/GoldenNeedle	Text		Agulha Dourada
Items/GoldenNeedleDesc	Text		Este pequeno tesouro foi usado para manter o manto de um estudioso cavernoso no lugar.
Items/GoldenRoseBouquet	Text		Buquê de Rosas Douradas
Items/GoldenRoseBouquetDesc	Text		Este lindo buquê feito de rosas douradas elevará a aparência de todos os cômodos. Dê a alguém que você gosta muito.
Items/GoldenSpikeRing	Text		anel de espiga de ouro
Items/GoldenSpikeRingDesc	Text		Este anel de ouro é muito desconfortável de usar, mas parece muito legal.
Items/GoldenStarfish	Text		estrela do mar dourada
Items/GoldenStarfishDesc	Text		Uma criatura oceânica afiada como uma navalha polida pelas correntes.
Items/GoldenTorrentDart	Text		dardo dourado
Items/GoldenTorrentDartDesc	Text		Este peixe esquivo aparece em enxames como um espetáculo de ouro cintilante para confundir os predadores.
Items/GoldenWhistle	Text		apito dourado
Items/GoldenWhistleDesc	Text		Um pequeno apito dourado com propósito desconhecido. Os sons que emite são quase imperceptíveis.
Items/GolemHelm	Text		Elmo de sentinela
Items/GolemHelmDesc	Text		A cabeça destacada de uma sentinela central. Usá-lo parece incrivelmente desajeitado e pesado, mas compensa com grande proteção.
Items/GolemShield	Text		Escudo Sentinela
Items/GolemShieldDesc	Text		O pedaço de peito descartado de uma sentinela central. Ele tem o tamanho certo para ser usado como um grande escudo e a antiga pedra preciosa em seu centro às vezes dispara energia enquanto bloqueia os ataques inimigos.
Items/GolemTrophy	Text		Estatueta de Sentinela Núcleo
Items/GolemTrophyDesc	Text		Uma representação realista de uma sentinela central.
Items/GraveTree	Text		árvore exuberante
Items/GraveTreeDesc	Text		Esta árvore verdejante passou muitos anos crescendo no Deserto de Azeos. Plante-o de volta no chão para decorar sua casa.
Items/GreaterHealingPotion	Text		Poção de Cura Maior
Items/GreaterHealingPotionDesc	Text		Um elixir muito mais saudável que cura instantaneamente. Também tem um gosto ótimo.
Items/GreenBlisterHead	Text		Cabeça de bolha verde
Items/GreenBlisterHeadDesc	Text		Um peixe com grandes bolhas verdes na cabeça.
Items/GreenDesertDestructible	Text		vaso de flores oásis
Items/GreenDesertDestructibleDesc	Text		Uma planta saudável contendo pilhagem natural do deserto.
Items/GreenFireFly	Text		Inseto Verde
Items/GreenFireFlyDesc	Text		Este inseto voador sempre aparece em enxames que aparecem como luzes dançantes. Seu brilho verde é específico do bioma.
Items/GreenKelp	Text		alga verde
Items/GreenKelpDesc	Text		Um caroço verde de plantas marinhas, não tão útil.
Items/GreeneryPod	Text		Vagem de verdura
Items/GreyDuneTail	Text		Cauda da Duna Cinzenta
Items/GreyDuneTailDesc	Text		Este peixe cinza e ágil é capaz de se mover entre os poços de água no deserto para mudar de área de alimentação.
Items/GreyKelp	Text		alga cinzenta
Items/GreyKelpDesc	Text		Um caroço cinzento de plantas marinhas, nada útil.
Items/GroundAcidSlime	Text		Limo Ácido Terrestre
Items/GroundAcidSlimeDesc	Text		Material pegajoso que dissolve lentamente tudo o que o toca.
Items/GroundBeachSandBlock	Text		Chão de Areia da Praia
Items/GroundBeachSandBlockDesc	Text		Um pedaço de terra arenoso.
Items/GroundCityBlock	Text		andar da cidade
Items/GroundCityBlockDesc	Text		Um pedaço robusto de piso de ladrilho com painéis de vidro e ouro.
Items/GroundClayBlock	Text		Chão argiloso
Items/GroundClayBlockDesc	Text		Um pedaço de terra vermelho e quebradiço.
Items/GroundDesertSandBlock	Text		Chão de Areia do Deserto
Items/GroundDesertSandBlockDesc	Text		Um pedaço de terra arenoso bege.
Items/GroundDesertTempleBlock	Text		Piso do Templo
Items/GroundDesertTempleBlock2	Text		Piso do Labirinto
Items/GroundDesertTempleBlock2Desc	Text		Um bloco de chão extremamente durável usado em labirintos antigos.
Items/GroundDesertTempleBlockDesc	Text		Um pedaço robusto de piso revestido com arenito e ouro.
Items/GroundDirtBlock	Text		Chão Sujo
Items/GroundDirtBlockDesc	Text		Um pedaço de terra marrom.
Items/GroundGrassBlock	Text		Gramado
Items/GroundGrassBlockDesc	Text		Um pedaço exuberante de plantas moídas.
Items/GroundHiveBlock	Text		Larva Hive Chão
Items/GroundHiveBlockDesc	Text		Um pedaço irregular de... chão?
Items/GroundLavaBlock	Text		Chão de rocha de lava
Items/GroundLavaBlockDesc	Text		Um pedaço de terra derretida.
Items/GroundLavaSlime	Text		Limo de Magma Terrestre
Items/GroundLavaSlimeDesc	Text		Material pegajoso misturado com magma que queima exploradores descuidados.
Items/GroundMoldBlock	Text		Chão do Molde
Items/GroundMoldBlockDesc	Text		Um pedaço de terra mofado que libera esporos infestantes.
Items/GroundObsidianBlock	Text		Chão Obsidiana
Items/GroundObsidianBlockDesc	Text		Um pedaço de chão indestrutível. Sabemos que você está trapaceando.
Items/GroundPoisonSlime	Text		Lodo Venenoso Terrestre
Items/GroundPoisonSlimeDesc	Text		Material pegajoso que acumula toxinas no corpo.
Items/GroundSandBlock	Text		Chão de Areia
Items/GroundSandBlockDesc	Text		Um pedaço de chão amarelo e frágil.
Items/GroundSlime	Text		Limo Terrestre
Items/GroundSlimeDesc	Text		Material pegajoso que retarda aventureiros descuidados. As bolhas de lodo começarão a coagular das superfícies cobertas de lodo ao longo do tempo.
Items/GroundSlipperySlime	Text		Lodo Escorregadio
Items/GroundSlipperySlimeDesc	Text		Material escorregadio que dificulta a obtenção de uma base firme.
Items/GroundSnowBlock	Text		Chão de Neve
Items/GroundSnowBlockDesc	Text		Um pedaço de chão branco e frio.
Items/GroundStoneBlock	Text		Chão de pedra
Items/GroundStoneBlockDesc	Text		Um pedaço de terra firme.
Items/GroundTurfBlock	Text		Campo de Relva
Items/GroundTurfBlockDesc	Text		Um pedaço de chão macio e musgoso.
Items/GrubEggNecklace	Text		Colar de ovo de larva
Items/GrubEggNecklaceDesc	Text		Este estranho colar parece ter vida própria.
Items/GrubKapokSeed	Text		Semente de Grup Kapok
Items/GrubKapokSeedDesc	Text		Transforma-se numa planta que dá fibra quando colhida.
Items/GrubKnot	Text		Grub Nó
Items/GrubKnotDesc	Text		Um amontoado mutante de pequenas larvas. Repugnante.
Items/GrubPearl	Text		Grub Pérola
Items/GrubPearlDesc	Text		É uma pérola em forma de larva ou uma larva em forma de pérola?
Items/Grubzooka	Text		Grubzooka
Items/GrubzookaDesc	Text		Os tiros pesados ​​do Grubzooka também derrubam qualquer terra, areia e paredes de relva em seu caminho.
Items/Grumpkin	Text		Grumpkin
Items/GrumpkinDesc	Text		Um vegetal encaroçado que parece muito irritado por ter sido arrancado do solo.
Items/GrumpkinRare	Text		Golden Grumpkin
Items/GrumpkinRareDesc	Text		Uma variante muito rara do grumpkin comum.
Items/GrumpkinSeed	Text		Semente de grumpkin
Items/GrumpkinSeedDesc	Text		Cresce em uma fruta irregular quando plantada.
Items/GuardiansPotion	Text		Poção do Guardião
Items/GuardiansPotionDesc	Text		Uma poção que o enche de grande coragem e capacidade de resistir aos inimigos mais fortes.
Items/HalloweenGoodieBag	Text		Bolsa Samhain Guloseimas
Items/HalloweenGoodieBagDesc	Text		Um saco cheio de doces assustadores e segredos. Abra-o para espiar por dentro.
Items/HandMortar	Text		Almofariz
Items/HandMortarDesc	Text		Problemas que não podem ser resolvidos geralmente podem ser eliminados.
Items/HardThorn	Text		Espinho duro
Items/HardThornDesc	Text		Um espinho de madeira resistente, alguém pode ter uma utilidade para ele.
Items/HealingPotion	Text		poção de cura
Items/HealingPotionDesc	Text		Um elixir saudável que cura instantaneamente. Também tem um gosto bom.
Items/HeartBerry	Text		Baga Coração
Items/HeartBerryDesc	Text		Uma baga doce e suculenta que refresca o corpo.
Items/HeartBerryNecklace	Text		Colar de Bagas de Coração
Items/HeartBerryNecklaceDesc	Text		Uma baga de coração no pescoço faz um lanche fácil!
Items/HeartBerryRare	Text		Baga Coração Dourado
Items/HeartBerryRareDesc	Text		Uma variante muito rara da baga do coração comum.
Items/HeartBerrySeed	Text		Semente de Baga do Coração
Items/HeartBerrySeedDesc	Text		Cresce em uma fruta saudável quando plantada.
Items/HeartOfGold	Text		Coração de ouro
Items/HeartOfGoldDesc	Text		Recompensado para aqueles que realmente cuidam dos outros e ajudam sempre que podem.
Items/HeartberrySoda	Text		Refrigerante de Coração
Items/HeartberrySodaDesc	Text		Esta bebida brilhante enlatada é uma explosão pura de sabor e doçura em sua boca.
Items/HiveBigLarvaTrophy	Text		Estatueta de larva de colmeia grande
Items/HiveBigLarvaTrophyDesc	Text		Uma representação realista de uma Big Hive Larva.
Items/HiveBossCrystal	Text		Coração da Mãe Colmeia
Items/HiveBossCrystalDesc	Text		Uma pedra preciosa gigante e antiga que transformou seu portador em uma monstruosidade.
Items/HiveBossSummoningItem	Text		Ídolo de Invocação da Mãe da Colmeia
Items/HiveBossSummoningItemDesc	Text		Ídolo de cristal para despertar a Mãe da Colmeia. Consumido ao colocá-lo na runa de invocação da Mãe da Colmeia.
Items/HiveDestructible	Text		crescimento da colmeia
Items/HiveDestructibleDesc	Text		Um crescimento semelhante a uma veia que revela saque quando aberto.
Items/HiveHalloweenBossSummoningItem	Text		Ídolo de Invocação da Mãe da Colmeia Assombrada
Items/HiveHalloweenBossSummoningItemDesc	Text		Ídolo de cristal para despertar a Mãe da Colmeia Assombrada. Consumido ao colocá-lo na runa de invocação da Mãe da Colmeia.
Items/HiveHalloweenBossTrophy	Text		Estatueta de Mãe Colmeia Assombrada
Items/HiveHalloweenBossTrophyDesc	Text		Uma representação realista da Haunted Hivemother.
Items/HiveLarvaTrophy	Text		Estatueta de larva de colmeia
Items/HiveLarvaTrophyDesc	Text		Uma representação realista de uma Hive Larva.
Items/HiveMotherScanner	Text		Scanner Mãe da Colmeia
Items/HiveMotherScannerDesc	Text		Escaneia o mundo em busca da Mãe da Colmeia. Consumido na verificação bem-sucedida.
Items/HiveSpikeTrap	Text		Armadilha de Espinhos de Colmeia
Items/HiveSpikeTrapDesc	Text		Uma armadilha de colméia de larva feita de ossos afiados, causando dano a qualquer criatura que pisar nela.
Items/HivemotherChest	Text		Baú da Colmeia
Items/HivemotherChestDesc	Text		Este baú está pulsando como se estivesse vivo, um resquício da Mãe Colmeia.
Items/HivemotherHalloweenChest	Text		Baú Mãe da Colmeia Assombrada
Items/HivemotherHalloweenChestDesc	Text		Este baú está pulsando como se estivesse vivo, uma sobra da Haunted Mãe da Colmeia.
Items/HivemotherTrophy	Text		Estatueta Mãe Colmeia
Items/HivemotherTrophyDesc	Text		Uma representação realista da Mãe da Colmeia.
Items/HotChocolate	Text		Chocolate Quente
Items/HotChocolateDesc	Text		Uma caneca cheia de leite cremoso com chocolate quente e pequenos marshmallows por cima. Beber é como ser criança de novo.
Items/HotPunch	Text		Ponche Quente
Items/HotPunchDesc	Text		Sentar-se com esta bebida agradável causará um arrepio de aconchego na espinha. É picante, frutado e simplesmente saboroso.
Items/HunterBreastArmor	Text		Manto do Caçador
Items/HunterBreastArmorDesc	Text		Um manto feito de grandes folhas entrelaçadas. Faz voce parecer um arbusto ambulante.
Items/HunterHelm	Text		capa de caçador
Items/HunterHelmDesc	Text		Este capuz é feito de grandes folhas enfiadas em uma faixa de cabeça. Permite misturar-se em ambientes verdes.
Items/HuntingSpear	Text		lança de caça
Items/HuntingSpearDesc	Text		Uma arma de longo alcance muito grosseira usada pelos cavernosos que moram nas Cavernas de Barro. Bom para caçar larvas e colocá-las sobre uma fogueira.
Items/IgneousTrophy	Text		estatueta ígnea
Items/IgneousTrophyDesc	Text		Uma representação realista de Ígneo, a Massa Fundida.
Items/IncenseBowl	Text		tigela de incenso
Items/IncenseBowlDesc	Text		Tigela em porcelana com detalhes em azul na borda e resíduo escuro no centro. O cheiro que ainda perdura ao seu redor acalma os sentidos.
Items/InfoBoardBroken	Text		Holoboard quebrado
Items/InfoBoardBrokenDesc	Text		Um painel quebrado feito de vidro azul. É difícil distinguir os glifos bruxuleantes nele.
Items/InfoBoardLarge	Text		Grande Holoboard
Items/InfoBoardLargeDesc	Text		Um grande painel vertical feito de vidro azul. Os glifos bruxuleantes quase parecem algum tipo de anúncio.
Items/InfoBoardSmall	Text		Holoboard Pequeno
Items/InfoBoardSmallDesc	Text		Um painel vertical feito de vidro azul. Os glifos bruxuleantes quase parecem um mapa da cidade.
Items/InstrumentCello	Text		Violão Celo
Items/InstrumentCelloDesc	Text		Um fino instrumento de sopro que produz um som sibilante. Pode ser difícil de dominar.Um bom instrumento de sopro que produz um som sibilante. Pode ser difícil de dominar.
Items/InstrumentFlute	Text		Flauta
Items/InstrumentFluteDesc	Text		Um fino instrumento de sopro que produz um som sibilante. Pode ser difícil de dominar mas warley domina facíl.
Items/InstrumentHarp	Text		Harpa
Items/InstrumentHarpDesc	Text		Simplesmente deslizar as pontas dos dedos em suas cordas finas resulta em um som harmônico vibrando no ar.
Items/IntactGrave	Text		Sepultura de servo
Items/IntactGraveDesc	Text		Esta sepultura feita de pedra mostra o relevo de um antigo desabamento a serviço do reino que outrora persistiu no deserto.
Items/InventoryAncientChest	Text		Baú antigo
Items/InventoryAncientChestDesc	Text		Este baú parece ter milhares de anos.
Items/InventoryChest	Text		Baú
Items/InventoryChestDesc	Text		Útil para armazenar muitos itens. Os itens podem ser usados ​​durante a fabricação se o baú for colocado ao lado da bancada.
Items/InventoryDesertBiomeChest	Text		Baú Antigo Dourado
Items/InventoryDesertBiomeChestDesc	Text		Uma versão dourada do antigo baú que parece ser ainda mais antigo.
Items/InventoryLarvaHiveChest	Text		Baú Colmeia Larva
Items/InventoryLarvaHiveChestDesc	Text		Menos como um baú e mais como um organismo vivo.
Items/InventoryLavaChest	Text		Baú Ardente
Items/InventoryLavaChestDesc	Text		Um recipiente com uma crosta de fogo, mas seu interior é seguro para armazenamento.
Items/InventoryMoldDungeonChest	Text		Baú coberto de mofo
Items/InventoryMoldDungeonChestDesc	Text		Um baú antigo coberto de mofo branco.
Items/InventorySeaBiomeChest	Text		Baú de Conchas
Items/InventorySeaBiomeChestDesc	Text		É um baú ou é um molusco?
Items/IronAnvil	Text		bigorna de ferro
Items/IronAnvilDesc	Text		Ótimo para criar equipamentos de alto nível.
Items/IronBar	Text		Barra de ferro
Items/IronBarDesc	Text		Um lingote de metal forte para ferraria.
Items/IronBow	Text		arco de ferro
Items/IronBowDesc	Text		Um arco resistente para atirar em inimigos de longe.
Items/IronBreastArmor	Text		Peitoral de Ferro
Items/IronBreastArmorDesc	Text		Carregue para a batalha com esta peça de peito épica.
Items/IronChest	Text		Baú de Ferro
Items/IronChestDesc	Text		Um velho baú feito de ferro. Não está mais bloqueado.
Items/IronChunkNecklace	Text		colar de pedaço de ferro
Items/IronChunkNecklaceDesc	Text		Uma joia pesada que aumenta a defesa.
Items/IronFishingRod	Text		Vara De Pesca De Ferro
Items/IronFishingRodDesc	Text		Uma ferramenta forte para puxar peixes raros.
Items/IronHelm	Text		Elmo de Ferro
Items/IronHelmDesc	Text		Elmo resistente adequado para cavaleiros. Vem com uma viseira e uma pluma extravagante.
Items/IronHoe	Text		enxada de ferro
Items/IronHoeDesc	Text		Uma ferramenta forte para preparar o terreno para a agricultura. Cobre uma área de 2x2 ladrilhos.
Items/IronKey	Text		chave de ferro
Items/IronKeyDesc	Text		Uma velha chave fundida em ferro. Deve haver uma fechadura em algum lugar onde ela se encaixe.
Items/IronMiningPick	Text		Picareta de Ferro
Items/IronMiningPickDesc	Text		Uma ferramenta forte, excelente para quebrar paredes mais duras.
Items/IronOre	Text		Minério de ferro
Items/IronOreDesc	Text		Comumente encontrado em paredes de pedra.
Items/IronPantsArmor	Text		calças de ferro
Items/IronPantsArmorDesc	Text		Voce tem joelhos de aço!
Items/IronShovel	Text		pá de ferro
Items/IronShovelDesc	Text		Uma pá forte, excelente para cavar terreno.
Items/IronSword	Text		Espada de ferro
Items/IronSwordDesc	Text		Uma arma forte para matar inimigos.
Items/IronWorkBench	Text		bancada de ferro
Items/IronWorkBenchDesc	Text		Bancada de trabalho essencial para a sobrevivencia no subsolo.
Items/IvyBreastArmor	Text		Arnes de Espinho de Ivy
Items/IvyBreastArmorDesc	Text		Esta armadura de peitoral orgânica é cravejada de espinhos, permitindo acertos críticos mais fortes.
Items/IvyChest	Text		Baú de Ivy
Items/IvyChestDesc	Text		Um baú coberto de limo que lembra a Missa Venenosa.
Items/IvyPantsArmor	Text		calças de hera
Items/IvyPantsArmorDesc	Text		Armadura da parte inferior do corpo desenvolvida naturalmente na selva subterrânea, com rótulas espinhosas.
Items/IvyRing	Text		anel de hera
Items/IvyRingDesc	Text		Um anel orgânico crescido a partir de espinhos cobertos de lodo.
Items/IvyTrophy	Text		estatueta de hera
Items/IvyTrophyDesc	Text		Uma representação realista de Ivy the Poisonous Mass.
Items/JellyfishDestructable	Text		geléia de praia
Items/JellyfishDestructableDesc	Text		Uma criatura gelatinosa contendo mercadorias do mar.
Items/JewelryWorkBench	Text		bancada de joalheria
Items/JewelryWorkBenchDesc	Text		Bancada para criação de anéis e colares.
Items/JingleJamCookie	Text		Biscoito Jingle Jam
Items/JingleJamCookieDesc	Text		Um presente especial por participar do evento de caridade Jingle Jam.
Items/KeenPotion	Text		poção afiada
Items/KeenPotionDesc	Text		Um elixir frio que concentra seus sentidos e mira.
Items/KelpTree	Text		Coqueiro de algas
Items/KelpTreeDesc	Text		Tecnicamente não é uma árvore, mas uma alga gigante com um coral de dupla hélice como tronco.
Items/KeyCraftingTable	Text		Tabela de Fundição de Chaves
Items/KeyCraftingTableDesc	Text		Uma bancada com placas de fundição mutáveis ​​para criar todos os tipos de chaves diferentes.
Items/Kiln1	Text		forno de barro quebrado
Items/Kiln1Desc	Text		Tendo visto muitos anos de uso, este velho forno está além do reparo.
Items/Kiln2	Text		Balde de Argila
Items/Kiln2Desc	Text		Um engenho simples que servia para queimar argila e torná-la mais dura.
Items/KingSlimeChest	Text		Baú do Rei Slime
Items/KingSlimeChestDesc	Text		Um baú coberto de slime com detalhes dourados que lembram o King Slime.
Items/KingSlimeCrown	Text		Coroa do Rei Slime
Items/KingSlimeCrownDesc	Text		Um capacete raro que o coroa como o rei de todos os slimes. Voce se sente muito real ao usá-lo.
Items/KingSlimeSummoningItem	Text		Ídolo de Invocação da Coroa
Items/KingSlimeSummoningItemDesc	Text		Um ídolo de cristal que parece fora deste mundo. Consumido ao colocá-lo em qualquer runa de invocação de Gosma Gigante.
Items/KingSlimeTrophy	Text		Estatueta King Slime
Items/KingSlimeTrophyDesc	Text		Uma representação realista do King Slime.
Items/KingfishScale	Text		Escama de Kingfish
Items/KingfishScaleDesc	Text		Esta bela escama parece pertencer a um peixe verdadeiramente extraordinário.
Items/Lamp	Text		Lâmpada
Items/LampDesc	Text		Acende quando alimentado com eletricidade.
Items/LandKelp	Text		Alga Terrestre
Items/LandKelpDesc	Text		Um tipo de alga que pode crescer fora da água.
Items/Lantern	Text		Lanterna
Items/LanternDesc	Text		Uma luz pequena e útil que deixa sua mão principal livre.
Items/LargeBomb	Text		bomba grande
Items/LargeBombDesc	Text		Um explosivo muito forte para destruição em massa.
Items/LargeShinyGlimmeringObject	Text		Objeto Grande Brilhante Reluzente
Items/LargeShinyGlimmeringObjectDesc	Text		Um objeto cristalino em forma de ovo. Ele vai chamar sua atenção mesmo de grandes distâncias.
Items/LargeTempleRug	Text		Tapete grande para decoração de templo
Items/LargeTempleRugDesc	Text		Um tapete grande e antigo com um desenho muito detalhado. Deve ter sido um item caro e um sinal de prosperidade.
Items/LargeWaterCan	Text		Regador grande
Items/LargeWaterCanDesc	Text		Usado para regar sementes e solo. Contém mais água do que um regador normal e cobre uma área de 2x2 ladrilhos.
Items/LarvaBBQ	Text		fogueira assada
Items/LarvaBBQDesc	Text		Parte lareira, parte churrasqueira, é um ótimo lugar para se reunir e desfrutar de alguns pedaços de carne de larva queimada.
Items/LarvaBossCrystal	Text		Chifre de Ghorm
Items/LarvaBossCrystalDesc	Text		Uma pedra preciosa pontiaguda que permite que uma larva cresça muito além de seu tamanho máximo.
Items/LarvaBossScanner	Text		Scanner Ghorm, o Devorador
Items/LarvaBossScannerDesc	Text		Escaneia o mundo em busca de Ghorm, o Devorador. Consumido na verificação bem-sucedida.
Items/LarvaBossSummoningItem	Text		Ídolo de Invocação de Ghorm
Items/LarvaBossSummoningItemDesc	Text		Ídolo de cristal para despertar Ghorm, o Devorador. Consumido ao colocá-lo na runa de invocação de Ghorm.
Items/LarvaBreastArmor	Text		Peitoral de larva
Items/LarvaBreastArmorDesc	Text		Não seja outra coisa. Seja grub.
Items/LarvaHelm	Text		elmo de larva
Items/LarvaHelmDesc	Text		Não há necessidade de chapéus extravagantes. Apenas grub.
